display_name,native,evergreen,light_conditions,soil_conditions,drought_tolerant,air_pollution_tolerant,salt_tolerant,size,prominent_flower,showy_seasonal_color,fruitnut_producing,tree_rebate,riversmart_homes
"Witch Hazel",,,partial-shade,moist,,,,small,1,1,,1,1
"Black Willow",,,partial-shade,moist,,,,large,,1,,1,1
"American Sycamore",,,full-sun,adaptable,,,1,large,,1,1,1,1
"Okame Cherry",,,full-sun,moist,,,,medium,1,1,1,1,
"Loebner Magnolia",,,partial-shade,moist,,,,medium,1,,,1,
"Kousa Dogwood",,,partial-shade,moist,,,,medium,1,1,,1,1
"Freeman Maple",,,partial-shade,moist,,,,large,,1,,1,1
Cryptomeria,,1,partial-shade,moist,,,,large,,,,1,
Arborvitae,,1,partial-shade,moist,,,,medium,,,,1,
"Japanese Pagoda",,,full-sun,moist,,,,large,1,,1,1,
"Shumard Oak",,,full-sun,moist,,,,large,,,1,1,1
"American Elm",,,shade,moist,,,,large,,1,,1,
"Swamp White Oak",,,full-sun,moist,,,,large,,,1,1,1
"White Oak",,,full-sun,moist,,,,large,,1,1,1,1
"Northern Catalpa",,,full-sun,well-drained,,,,large,1,,,1,1
"Loblolly Pine",,1,full-sun,moist,,,,large,,,,1,
"Pin Oak",,,full-sun,moist,,,,large,,1,1,1,1
"Bur Oak",,,full-sun,moist,,,,large,,,1,1,1
"American Sweetgum",,,full-sun,moist,,,,large,,1,,1,
"Scarlet Oak",,,full-sun,moist,,,,large,,1,1,1,1
Ginkgo,,,full-sun,moist,,,,large,,1,1,1,
"Pond Cypress",,,full-sun,moist,,,,large,,,,1,
"Chestnut Oak",,,full-sun,moist,,,,large,,,1,1,1
"Kentucky Coffeetree",,,partial-shade,moist,,,,large,1,1,,1,1
"Honey Locust",,,full-sun,moist,,,,large,,1,1,1,1
"Osage Orange",,,shade,moist,,,,large,,,,1,
"Shingle Oak",,,full-sun,moist,,,,large,,1,1,1,
Tuliptree,,,full-sun,moist,,,,large,1,1,,1,
"Japanese Zelkova",,,shade,moist,,,,large,,1,,1,
"Southern Magnolia",,1,partial-shade,moist,,,,large,1,,,1,1
"American Linden",,,partial-shade,moist,,,,large,1,1,,1,1
"Overcup Oak",,,full-sun,moist,,,,large,,1,,1,1
"Dawn Redwood",,,full-sun,moist,,,,large,,1,,1,
"Hardy Rubber Tree",,,partial-shade,moist,,,,large,,,,1,
"Northern Red Oak",,,full-sun,moist,,,,large,,1,1,1,1
Pecan,,,full-sun,acidic,,,,large,,1,1,1,
"London Planetree",,,full-sun,moist,,,,large,,,,1,1
"American Beech",,,partial-shade,moist,,,,large,,1,,1,1
"Pitch Pine",,,shade,moist,,,,large,,,,1,
Yellowwood,,,full-sun,moist,,,,medium,1,1,,1,1
"Bald Cypress",,,full-sun,moist,,,,large,,,,1,1
"Willow Oak",,,full-sun,moist,,,,large,,,1,1,
"Chinkapin Oak",,,full-sun,moist,,,,medium,,1,1,1,1
"Deodar Cedar",,1,full-sun,moist,,,,medium,,,,1,
"River Birch",,,full-sun,moist,,,,medium,,1,,1,1
"Red Maple",,,full-sun,moist,,,,medium,,1,,1,1
"Red Cedar",,,shade,moist,,,,medium,,,,1,
"Black Tupelo",,,partial-shade,moist,,,,medium,,1,,1,1
Persimmon,,,partial-shade,moist,,,,medium,,1,1,1,1
"Virginia Pine",,1,full-sun,moist,,,,medium,,,,1,1
Sassafras,,,shade,moist,,,,medium,,1,,1,
Hackberry,,,full-sun,moist,,,,medium,,1,1,1,1
"Nuttall Oak",,,full-sun,moist,,,,medium,,1,1,1,1
"Chinese Pistache",,,full-sun,moist,,,,medium,,1,,1,
"Yoshino Cherry",,,partial-shade,moist,1,1,1,medium,1,1,1,1,
"American Holly",,1,partial-shade,moist,,,,medium,,,,1,1
"Sweetbay Magnolia",,1,partial-shade,moist,,,,small,1,,,1,1
"Flowering Dogwood",,,partial-shade,moist,,,,small,1,1,,1,1
"American Hornbeam",,,shade,moist,,,,small,,1,,1,1
"American Hophornbeam",,,partial-shade,moist,,,,small,,1,,1,
"Blackhaw Viburnum",,,shade,moist,,,,small,,,,,
"Eastern Redbud",,,partial-shade,moist,,,,small,1,1,,1,1
Silverbell,,,partial-shade,moist,,,,small,1,,,1,1
"Crape Myrtle",,,full-sun,moist,,,,small,1,1,,1,
Serviceberry,,,partial-shade,moist,,,,small,1,,,1,1
Pawpaw,,,partial-shade,moist,,,,small,1,1,1,1,
